"","species","countryCode","stateProvince","locality","decimalLongitude","decimalLatitude","individualCount","gbifID","family","taxonRank","coordinateUncertaintyInMeters","year","basisOfRecord","institutionCode","collectionCode","geometry"
"11","Manihot pilosa","BR","Mg","17 km a sudeste de Mariana, ao longo da BR - 356, rumo a Ponte Nova.",-43.25,-20.38333,4,1095194730,"Euphorbiaceae","SPECIES",NA,1986,"PRESERVED_SPECIMEN","Cenargen","CEN",c(-43.25, -20.38333)
"12","Manihot pilosa","BR","Mg","19 km da rodovia BR-356, trecho Mariana - Ponte Nova.",-43.25,-20.38333,4,1095194694,"Euphorbiaceae","SPECIES",NA,1986,"PRESERVED_SPECIMEN","Cenargen","CEN",c(-43.25, -20.38333)
"13","Manihot pilosa","BR","Mg","40 km a SE de Mariana, ao longo da rodovia BR-356, rumo a Ponte Nova.",-43,-20.41667,2,1095194799,"Euphorbiaceae","SPECIES",NA,1986,"PRESERVED_SPECIMEN","Cenargen","CEN",c(-43, -20.41667)
"14","Manihot pilosa","BR","Mg","23 km a SE de Viçosa, ao longo da rodovia BR-265, rumo a Visconde do Rio Branco.",-42.83333,-20.83333,2,1095194752,"Euphorbiaceae","SPECIES",NA,1986,"PRESERVED_SPECIMEN","Cenargen","CEN",c(-42.83333, -20.83333)
"15","Manihot pilosa","BR","Mg","7 km a noroeste de Serro, ao longo da BR-259, rumo a Datas.",-43.33333,-18.5,6,1095194745,"Euphorbiaceae","SPECIES",NA,1986,"PRESERVED_SPECIMEN","Cenargen","CEN",c(-43.33333, -18.5)
"16","Manihot pilosa","BR","Mg","7 km a noroeste de Serro, ao longo da BR-259, rumo a Datas.",-43.33333,-18.46667,1,1095194707,"Euphorbiaceae","SPECIES",NA,1986,"PRESERVED_SPECIMEN","Cenargen","CEN",c(-43.33333, -18.46667)
"17","Manihot pilosa","BR","Mg","7 km a noroeste de Serro, ao longo da BR - 259, rumo a Datas.",-43.33333,-18.46667,1,1095194759,"Euphorbiaceae","SPECIES",NA,1986,"PRESERVED_SPECIMEN","Cenargen","CEN",c(-43.33333, -18.46667)
"18","Manihot pilosa","BR","Mg","7 km a noroeste de Serro, ao longo da BR-259, rumo a Datas.",-43.33333,-18.5,3,1095194720,"Euphorbiaceae","SPECIES",NA,1986,"PRESERVED_SPECIMEN","Cenargen","CEN",c(-43.33333, -18.5)
"19","Anadenanthera peregrina","BR","Mg","Praça Santa Rita.",-42.650833,-19.765833,5,1095246256,"Fabaceae","VARIETY",NA,2000,"PRESERVED_SPECIMEN","Cenargen","CEN",c(-42.650833, -19.765833)
"20","Apuleia leiocarpa","BR","Mg","Estrada da Lagoa Romualdo.",-42.596944,-19.8475,5,1095246269,"Fabaceae","SPECIES",NA,2000,"PRESERVED_SPECIMEN","Cenargen","CEN",c(-42.596944, -19.8475)
"21","Verbesina glabrata","BR","Es","Liberdade (Água Viva, Pedra do Cruzeiro) Prop. Aguilar A. Lovucini , Alt: 150 - 850 m (Cruzeiro a Gruta)",-40.551666,-19.348055,1,2285834094,"Asteraceae","SPECIES",NA,2006,"PRESERVED_SPECIMEN","Cenargen","CEN",c(-40.551666, -19.348055)
"22","Myrcia eriocalyx","BR","Mg","Brasil, Minas Gerais, Catas Altas, RPPN Serra do Caraça, mirante na estrada para a Sede da RPPN, chegando no santuário.",-43.498611,-20.0925,1,1095260288,"Myrtaceae","SPECIES",NA,2012,"PRESERVED_SPECIMEN","Cenargen","CEN",c(-43.498611, -20.0925)
"23","Myrciaria glanduliflora","BR","Mg","Margem da BR-381, entre São Gonçalo do Rio Abaixo e João Monlevade, próximo à primeira.",-42.865,-19.868611,1,1095260189,"Myrtaceae","SPECIES",NA,2012,"PRESERVED_SPECIMEN","Cenargen","CEN",c(-42.865, -19.868611)
"24","Myrciaria glanduliflora","BR","Mg","Brasil, Minas Gerais, São Gonçalo do Rio Abaixo, Estação Ecológica de Peti, estrada para o mirante do cruzeiro.",-43.368333,-19.889444,1,1095260223,"Myrtaceae","SPECIES",NA,2012,"PRESERVED_SPECIMEN","Cenargen","CEN",c(-43.368333, -19.889444)
"25","Eugenia laruotteana","BR","Mg","Margem da estrada de terra da Cabeça de Boi (Santana do Rio Negro) para a Cachoeira do Chiquinho, morro em frente a Cachoeira.",-43.430833,-19.415,1,1265927679,"Myrtaceae","SPECIES",NA,2012,"PRESERVED_SPECIMEN","Cenargen","CEN",c(-43.430833, -19.415)
"26","Ocotea lancifolia","BR","Es","Reserva Natural Vale , Municipal Canto Grande",-39.955555,-19.247777,1,2285834216,"Lauraceae","SPECIES",NA,2014,"PRESERVED_SPECIMEN","Cenargen","CEN",c(-39.955555, -19.247777)
"27","Verbesina glabrata","BR","Mg","Encosta da estrada, barranco, na entrada da cidade de Ouro Preto.",-43.538055,-20.376111,9,2285833886,"Asteraceae","SPECIES",NA,2015,"PRESERVED_SPECIMEN","Cenargen","CEN",c(-43.538055, -20.376111)
"28","Aniba firmula","BR","Mg","Distrito de Santana do Rio preto. Cabeça de Boi. Mata do Cachoeirão. Próximo a estrada das Posses.",-43.432777,-19.431944,1,3127348399,"Lauraceae","SPECIES",NA,2011,"PRESERVED_SPECIMEN","Cenargen","CEN",c(-43.432777, -19.431944)
"29","Jacaratia spinosa","BR","Rj","Sítio Palmital do Sr. Gilmar Valente. Rod. Viçosa - Paula Cândido cerca de 10 km.",-42.851388,-20.813888,7,1095241278,"Caricaceae","SPECIES",NA,2005,"PRESERVED_SPECIMEN","Cenargen","CEN",c(-42.851388, -20.813888)
"30","Andira fraxinifolia","BR","Es","Margem da Lagoa Juparanã, Três Pontas.",-40.085833,-19.304722,1,3127348646,"Fabaceae","SPECIES",NA,2019,"PRESERVED_SPECIMEN","Cenargen","CEN",c(-40.085833, -19.304722)
"31","Senna cana","BR","Es","Serra do Alto Mutum Preto, Pedra da Colina, caminho para a rampa do vôo livre. Inselberg gnaisse.",-40.875,-19.231388,1,3127348690,"Fabaceae","SPECIES",NA,2019,"PRESERVED_SPECIMEN","Cenargen","CEN",c(-40.875, -19.231388)
"32","Cordia trichotoma","BR","Es","Pedra Santa Luzia. Parte de mata anterior ao final da estrada na subida.",-40.467222,-19.288055,1,3127348692,"Cordiaceae","SPECIES",NA,2019,"PRESERVED_SPECIMEN","Cenargen","CEN",c(-40.467222, -19.288055)
"33","Manihot pilosa","BR","Mg","BR - 262, a 15,8 km do rio Doce, e a 43,7 km do trevo de acesso a Ouro Preto.",-42.9,-19.983333,2,1265929335,"Euphorbiaceae","SPECIES",NA,1994,"PRESERVED_SPECIMEN","Cenargen","CEN",c(-42.9, -19.983333)
"34","Solanum cernuum","BR","Mg","21,8 km após o trevo de entrada para Ponte Nova, em direção a Ouro Preto.",-43.1,-20.4,2,1265929313,"Solanaceae","SPECIES",NA,1994,"PRESERVED_SPECIMEN","Cenargen","CEN",c(-43.1, -20.4)
"35","Manihot pilosa","BR","Mg","25,2 km do trevo de acesso à Ouro Preto, na MG 262, vindo da BR - 262.",-42.75,-20.266666,7,1265929295,"Euphorbiaceae","SPECIES",NA,1994,"PRESERVED_SPECIMEN","Cenargen","CEN",c(-42.75, -20.266666)
"36","Lychnophora pinaster","BR","Mg","Estrada Ouro Preto - Itatiaia; km 14.",-43.56667,-20.45,5,1095209791,"Asteraceae","SPECIES",NA,1989,"PRESERVED_SPECIMEN","Cenargen","CEN",c(-43.56667, -20.45)
"37","Andira fraxinifolia","BR","Mg","Distrito de Santana do Rio Preto. Cabeça de Boi. Caminho para o Cachoeirão, após a casa do Zé Fernandes.",-43.433055,-19.424166,1,1587324246,"Fabaceae","SPECIES",NA,2011,"PRESERVED_SPECIMEN","Cenargen","CEN",c(-43.433055, -19.424166)
"38","Casearia decandra","BR","Mg","Estradade terra estrada Real) para o morro do Pilar, lado esquerdo.",-43.4175,-19.057777,1,1095245250,"Salicaceae","SPECIES",NA,2006,"PRESERVED_SPECIMEN","Cenargen","CEN",c(-43.4175, -19.057777)
"39","Mabea fistulifera","BR","Mg","Margem da MG 010, próximo a Conceição do Mato Dentro, borda da mata. alt. 785 m.",-43.433333,-19.074722,1,1095255085,"Euphorbiaceae","SPECIES",NA,2011,"PRESERVED_SPECIMEN","Cenargen","CEN",c(-43.433333, -19.074722)
"40","Alchornea glandulosa","BR","Mg","Brasil - Minas Gerais - Itabira, Serra dos Alves, caminho para canion dos Marques, Vegetação de porte arbustivo-arbóreo.",-43.460833,-19.496388,1,1095255122,"Euphorbiaceae","SPECIES",NA,2011,"PRESERVED_SPECIMEN","Cenargen","CEN",c(-43.460833, -19.496388)
"41","Drimys brasiliensis","BR","Mg","Brasil - Minas Gerais - Itabira, Serra dos Alves, caminho para canion dos Marques, Margem de Córrego Perturbada.",-43.464166,-19.51,1,1095255118,"Winteraceae","SPECIES",NA,2011,"PRESERVED_SPECIMEN","Cenargen","CEN",c(-43.464166, -19.51)
"42","Myrciaria delicatula","BR","Mg","Brasil - Minas Gerais - Itabira, Parque Nacional da Serra do Cipó, próximo ao povoado de Serra dos Alves, Fazenda do Lulu, Mata de Galeira.",-43.460833,-19.496388,1,1095255093,"Myrtaceae","SPECIES",NA,2011,"PRESERVED_SPECIMEN","Cenargen","CEN",c(-43.460833, -19.496388)
"43","Campomanesia rufa","BR","Mg","Margem da BR - 381, entre João Monlevade e São Gonçalo do Rio Abaixo.",-43.3225,-19.838888,1,1095255442,"Myrtaceae","SPECIES",NA,2010,"PRESERVED_SPECIMEN","Cenargen","CEN",c(-43.3225, -19.838888)
"44","Eugenia nutans","BR","Mg","Margem da estrada entre Santo Antônio do Itambé e Serro Azul.",-43.281944,-18.443055,1,1095255441,"Myrtaceae","SPECIES",NA,2010,"PRESERVED_SPECIMEN","Cenargen","CEN",c(-43.281944, -18.443055)
"45","Eugenia florida","BR","Mg","Margem da estrada que liga Serro a Guanhães.",-43.128888,-18.703333,1,1095255456,"Myrtaceae","SPECIES",NA,2010,"PRESERVED_SPECIMEN","Cenargen","CEN",c(-43.128888, -18.703333)
"46","Accara elegans","BR","Mg","RPPN Serra do Caraça, base da trilha para o Pico do Sol.",-43.473888,-20.105555,1,1095255401,"Myrtaceae","SPECIES",NA,2010,"PRESERVED_SPECIMEN","Cenargen","CEN",c(-43.473888, -20.105555)
"47","Diplusodon virgatus","BR","Mg","Estrada entre Ouro Branco e o Morro do Gabriel, ca. de 9 km de Ouro Branco.",-43.66361,-20.48889,1,1095203818,"Lythraceae","SPECIES",NA,1995,"PRESERVED_SPECIMEN","Cenargen","CEN",c(-43.66361, -20.48889)
"48","Melanoxylon brauna","BR","Mg","Sítio Velho do Paulino / CAF. perto do PFERD.",-42.65389,-19.76611,6,1095227226,"Fabaceae","SPECIES",NA,2001,"PRESERVED_SPECIMEN","Cenargen","CEN",c(-42.65389, -19.76611)
"49","Cariniana legalis","BR","Mg","Parque Estadual do Rio Doce, estrada da trilha da Campolina 1,5 km após ribeirão do Turvo.",-42.502777,-19.714722,3,1095227204,"Lecythidaceae","SPECIES",NA,2001,"PRESERVED_SPECIMEN","Cenargen","CEN",c(-42.502777, -19.714722)
"50","Manihot pilosa","BR","Mg","54,7 km adiante do entroncamento das rodovias BR - 259 e BR - 367 (Datas) no rumo de Serro.",-43.45,-18.6,5,1095249206,"Euphorbiaceae","SPECIES",NA,1995,"PRESERVED_SPECIMEN","Cenargen","CEN",c(-43.45, -18.6)
"51","Manihot pilosa","BR","Mg","54,7 km adiante do entroncamento das rodovias BR - 259 e BR - 367 (Datas) no rumo de Serro.",-43.45,-18.6,5,1095249196,"Euphorbiaceae","SPECIES",NA,1995,"PRESERVED_SPECIMEN","Cenargen","CEN",c(-43.45, -18.6)
"52","Manihot pilosa","BR","Mg","54,7 km adiante do entroncamento das rodovias BR - 259 e BR - 367 (Datas) no rumo de Serro.",-43.45,-18.6,5,1095249227,"Euphorbiaceae","SPECIES",NA,1995,"PRESERVED_SPECIMEN","Cenargen","CEN",c(-43.45, -18.6)
"53","Manihot pilosa","BR","Mg","Cerca de 3 km a SE da cidade, ao longo da rodovia MG - 123 que leva a Alvinópolis.",-43.15,-19.95,2,1095249202,"Euphorbiaceae","SPECIES",NA,1995,"PRESERVED_SPECIMEN","Cenargen","CEN",c(-43.15, -19.95)
"54","Manihot pilosa","BR","Mg","Cerca de 25,5 km a SE de Rio Piracicaba, ao longo da rodovia MG - 123 no rumo de Alvinópolis.",-43.05,-20.083333,3,1095249197,"Euphorbiaceae","SPECIES",NA,1995,"PRESERVED_SPECIMEN","Cenargen","CEN",c(-43.05, -20.083333)
"55","Manihot pilosa","BR","Mg","Cerca de 27 km a SE de Ponte Nova, ao longo da rodovia BR - 120 rumo a Teixeiras.",-42.883333,-20.616666,1,1095249213,"Euphorbiaceae","SPECIES",NA,1995,"PRESERVED_SPECIMEN","Cenargen","CEN",c(-42.883333, -20.616666)
"56","Manihot pilosa","BR","Mg","Exatos 2,3 km (último quebra-molas) da cidade, ao longo da rodovia MG - 123 rumo a Alvinópolis.",-42.983333,-20.15,4,1095249214,"Euphorbiaceae","SPECIES",NA,1995,"PRESERVED_SPECIMEN","Cenargen","CEN",c(-42.983333, -20.15)
"57","Manihot pilosa","BR","Mg","21 km a SE de Ponte Nova, ao longo da rodovia BR - 120 rumo a Teixeiras.",-42.9,-20.583333,4,1095249185,"Euphorbiaceae","SPECIES",NA,1995,"PRESERVED_SPECIMEN","Cenargen","CEN",c(-42.9, -20.583333)
"58","Manihot pilosa","BR","Mg","Cerca de 4,5 km a SE da cidade, ao longo da rodovia MG - 123 rumo a Dom Silvério.",-43,-20.15,4,1095249238,"Euphorbiaceae","SPECIES",NA,1995,"PRESERVED_SPECIMEN","Cenargen","CEN",c(-43, -20.15)
"59","Manihot pilosa","BR","Mg","Exatos 2,3 km (último quebra-molas) da cidade, ao longo da rodovia MG - 123 rumo a Alvinópolis.",-42.98333,-20.15,4,1095249211,"Euphorbiaceae","SPECIES",NA,1995,"PRESERVED_SPECIMEN","Cenargen","CEN",c(-42.98333, -20.15)
"60","Pilocarpus spicatus","BR","Ba","Estrada Catolés - Abaíra , km 18.",-41.733333,-18.233333,4,1095230951,"Rutaceae","SPECIES",NA,2004,"PRESERVED_SPECIMEN","Cenargen","CEN",c(-41.733333, -18.233333)
"61","Manihot pilosa","BR","Mg","A 17 km a Sudoeste de Mariana ao longo da BR-356, rumo a Ponte Nova.",-43.41667,-20.36667,4,1095244269,"Euphorbiaceae","SPECIES",NA,1988,"PRESERVED_SPECIMEN","Cenargen","CEN",c(-43.41667, -20.36667)
"62","Manihot pilosa","BR","Mg","23 km a Sudoeste de Ponte Nova, ao longo da rodovia BR-120, rumo a Viçosa.",-42.86667,-20.63333,2,1095244291,"Euphorbiaceae","SPECIES",NA,1988,"PRESERVED_SPECIMEN","Cenargen","CEN",c(-42.86667, -20.63333)
"63","Pilocarpus spicatus","BR","Es","Mata a esquerda, na estrada Colatina - João Neiva à 14 km de Colatina.",-40.51667,-19.55,3,1095210265,"Rutaceae","VARIETY",NA,1991,"PRESERVED_SPECIMEN","Cenargen","CEN",c(-40.51667, -19.55)
"64","Pilocarpus spicatus","BR","Es","Mata a esquerda, na estrada Colatina - João Neiva à 14 km de Colatina.",-40.85,-19.55,3,1095210236,"Rutaceae","VARIETY",NA,1992,"PRESERVED_SPECIMEN","Cenargen","CEN",c(-40.85, -19.55)
"65","Verbesina floribunda","BR","","CATAS ALTAS - MG : Serra do Caraça ao lado da capelinha.",-43.481944,-20.096388,10,1913584556,"Asteraceae","SPECIES",NA,2015,"PRESERVED_SPECIMEN","Cenargen","CEN",c(-43.481944, -20.096388)
"66","Diplusodon virgatus","BR","Mg","Margem do Rio de Carmo, próximo a estrada de ferro.",-43.516666,-20.393333,1,1095256192,"Lythraceae","VARIETY",NA,2011,"PRESERVED_SPECIMEN","Cenargen","CEN",c(-43.516666, -20.393333)
"67","Pilocarpus spicatus","BR","Es","Mata a esquerda, na estrada Colatina - João Neiva à 14 km de Colatina.",-40.85,-19.91667,6,1095250857,"Rutaceae","VARIETY",NA,1991,"PRESERVED_SPECIMEN","Cenargen","CEN",c(-40.85, -19.91667)
"68","Rourea induta","BR","Mg","Cerrado recorde acima do cerrado virgem da Fazenda Boa Vista, a 18,2 km da cidade.",-42.366666,-18.58333,3,1095199281,"Connaraceae","SPECIES",NA,1991,"PRESERVED_SPECIMEN","Cenargen","CEN",c(-42.366666, -18.58333)
"69","Rourea induta","BR","Mg","Cerrado recorde acima do cerrado virgem da Fazenda Boa Vista, a 18.2 km da cidade.",-42.366666,-18.58333,5,1095199282,"Connaraceae","SPECIES",NA,1991,"PRESERVED_SPECIMEN","Cenargen","CEN",c(-42.366666, -18.58333)
"70","Virola sebifera","BR","Mg","Cerrado recorde acima do cerrado virgem da fazenda Boa Vista, a 18,2 km da cidade.",-42.366666,-18.583333,3,1095199239,"Myristicaceae","SPECIES",NA,1991,"PRESERVED_SPECIMEN","Cenargen","CEN",c(-42.366666, -18.583333)
"71","Mimosa scabrella","BR","Mg","Trilha 1 Km ao Sul do povoado de Lavras Novas.",-43.521666,-20.4775,4,1095255882,"Fabaceae","SPECIES",NA,2011,"PRESERVED_SPECIMEN","Cenargen","CEN",c(-43.521666, -20.4775)
"72","Mimosa scabrella","BR","Mg","Parque Estadual do Itacolomi.",-43.512777,-20.437222,2,1095255802,"Fabaceae","SPECIES",NA,2011,"PRESERVED_SPECIMEN","Cenargen","CEN",c(-43.512777, -20.437222)
"73","Diplusodon virgatus","BR","Mg","Voucher de estudo paleobotânico (IG-UNICAMP)",-43.311944,-20.155833,1,1587328408,"Lythraceae","VARIETY",NA,2008,"PRESERVED_SPECIMEN","Cenargen","CEN",c(-43.311944, -20.155833)
"74","Myrcia splendens","BR","Mg","Pico do Padre Ângelo. Subida ao pico.",-41.576388,-19.312777,1,1944855052,"Myrtaceae","SPECIES",NA,2016,"PRESERVED_SPECIMEN","Cenargen","CEN",c(-41.576388, -19.312777)
"75","Piper aduncum","BR","Mg","2 km após a entrada do Parque Estadual do Rio doce, em direção á ponte Queimada e aos experimentos da Teresa Spósito (GEF).",-42.57389,-19.66139,6,1265922803,"Piperaceae","SPECIES",NA,2000,"PRESERVED_SPECIMEN","Cenargen","CEN",c(-42.57389, -19.66139)
"76","Platypodium elegans","BR","Mg","Fazenda João Araújo.",-42.70944,-19.80389,5,1095217059,"Fabaceae","SPECIES",NA,2000,"PRESERVED_SPECIMEN","Cenargen","CEN",c(-42.70944, -19.80389)
"77","Dalbergia nigra","BR","Mg","Fazenda João Araújo.",-42.70944,-19.80389,5,1095217064,"Fabaceae","SPECIES",NA,2000,"PRESERVED_SPECIMEN","Cenargen","CEN",c(-42.70944, -19.80389)
"78","Bixa arborea","BR","Es","Espírito Santo. Altura entre 10 - 20 metros.",-40.983333,-19.983333,1,1095221079,"Bixaceae","SPECIES",NA,1990,"PRESERVED_SPECIMEN","Cenargen","CEN",c(-40.983333, -19.983333)
"79","Guatteria sellowiana","BR","","MG - Municipio de Ouro Branco. Serra de Ouro Branco. Estrada em direção a Ouro Preto. 20°29'96'' S, 43°37'85'' W. 1225 m.",-43.63083,-20.49917,NA,1830980260,"Annonaceae","SPECIES",100,1994,"PRESERVED_SPECIMEN","WU","Herbarium WU",c(-43.63083, -20.49917)
"80","Guatteria sellowiana","BR","","MG - Municipio de Ouro Branco. Serra de Ouro Branco. Estrada em direção a Ouro Preto. 20°29'96'' S, 43°37'85'' W. 1225 m.",-43.63083,-20.49917,NA,1830980234,"Annonaceae","SPECIES",100,1994,"PRESERVED_SPECIMEN","WU","Herbarium WU",c(-43.63083, -20.49917)
"81","Lamanonia ternata","BR","Minas Gerais","Serra do Caraça. Parque do Caraça. Along trail from the Santuário to the Cascatinha.",-43.484108,-20.102057,NA,1426187191,"Cunoniaceae","SPECIES",NA,2004,"PRESERVED_SPECIMEN","CAS","BOT-BC",c(-43.484108, -20.102057)
"82","Miconia ferruginata","BR","Minas Gerais","Minas Gerais: Municipio of Ouro Branco. Estrada Real about 16 km NE of Ouro Branco.",-43.631104,-20.503611,NA,1426059726,"Melastomataceae","SPECIES",NA,2001,"PRESERVED_SPECIMEN","CAS","BOT-BC",c(-43.631104, -20.503611)
"83","Hornschuchia bryotrophe","BR","Espírito Santo","Mun. Rio Bananal. forest behind Faz. Lagoa Nova, reached by 2 km of dirt rd. turning left at 23 km from bridge at W edge of Linhares on rd. to Bananal.",-40.2,-19.28333,NA,1260819886,"Annonaceae","SPECIES",NA,1994,"PRESERVED_SPECIMEN","MO","MO",c(-40.2, -19.28333)
"84","Inga vulpina","BR","Minas Gerais","CARACA: Trail to Cascatinha, behind monastery, Parque Natural de Caraca. transition between cerrado and campo de altura along black water stream.",-43.5,-20.25,3,1261877181,"Fabaceae","SPECIES",NA,1985,"PRESERVED_SPECIMEN","MO","MO",c(-43.5, -20.25)
"85","Handroanthus arianeae","BR","Espírito Santo","Linhares.",-40.06666,-19.41666,NA,1258254367,"Bignoniaceae","SPECIES",NA,1987,"PRESERVED_SPECIMEN","MO","MO",c(-40.06666, -19.41666)
"86","Ocotea nitida","BR","Minas Gerais","Parque Estadual do Rio Doce, Marliéria.",-42.61666,-19.75,NA,1258740344,"Lauraceae","SPECIES",NA,1997,"PRESERVED_SPECIMEN","MO","MO",c(-42.61666, -19.75)
"87","Peritassa flaviflora","BR","Minas Gerais","Mun. de Marliéria: Parque Estadual Do Rio Doce. Native evergreen broadleaf forest area. Very deep light tan sandy clay. On peninsula at lake Helvecio. Near Hotel, in secondary forest (regrown after virgin forest bruned 10 years previously).",-42.6,-19.766667,1,1260354331,"Celastraceae","SPECIES",NA,1975,"PRESERVED_SPECIMEN","MO","MO",c(-42.6, -19.766667)
"88","Vatairea macrocarpa","BR","Espírito Santo","Mun. Linhares. Reserva Florestal, Linhares. Low land coastal rain forest on terre firme mixed with restinga forest.",-40.05,-19.23333,NA,1260618343,"Fabaceae","SPECIES",NA,1993,"PRESERVED_SPECIMEN","MO","MO",c(-40.05, -19.23333)
"89","Bixa orellana","BR","Minas Gerais","Municipio de Marlieria; along road between Timoteo and Dionisio, ca. 1/2 km W of entrance of Parque Estadual do Rio Doce.",-42.61666,-19.73333,NA,1260484268,"Bixaceae","SPECIES",NA,1975,"PRESERVED_SPECIMEN","MO","MO",c(-42.61666, -19.73333)
"90","Kuhlmanniodendron apterocarpum","BR","Espírito Santo","Estrada de Linhares para o Pontal do Vale, ca. 8, 1 km após o viaduto, ramal à direita para Povoação. Ca. 16.7 km da estrada.",-39.8875,-19.506111,1,1257845668,"Achariaceae","SPECIES",NA,2004,"PRESERVED_SPECIMEN","MO","MO",c(-39.8875, -19.506111)
"91","Diplotropis ferruginea","BR","Minas Gerais","RPPN Santu?rio Serra do Cara?a, ?rea de floresta depois da portaria de entrada do Cara?a e antes do mirante.",-43.51,-20.059722,NA,2996037856,"Fabaceae","SPECIES",NA,2016,"PRESERVED_SPECIMEN","ALCB","ALCB",c(-43.51, -20.059722)
"92","Stryphnodendron polyphyllum","BR","Minas Gerais","RPPN Santuário do Caraça. Santuário do Caraça, trilha para a Cascatinha, próximo a entrada para a Piscina.",-43.485833,-20.100556,NA,2996042118,"Fabaceae","SPECIES",NA,2016,"PRESERVED_SPECIMEN","ALCB","ALCB",c(-43.485833, -20.100556)
"93","Platypodium elegans","BR","Minas Gerais","RPPN Santuário do Caraça. Santuário do Caraça, Km 15 após o portão de entrada para o mosteiro.",-43.51,-20.076111,NA,2996042140,"Fabaceae","SPECIES",NA,2016,"PRESERVED_SPECIMEN","ALCB","ALCB",c(-43.51, -20.076111)
"94","Pera glabrata","BR","Minas Gerais","Parque Florestal Estadual do Rio Doce, Lagoa Don Elvécio",-42.616667,-19.8,NA,2996044016,"Peraceae","SPECIES",NA,1982,"PRESERVED_SPECIMEN","ALCB","ALCB",c(-42.616667, -19.8)
"95","Myrcia pubiflora","BR","Minas Gerais","Parcela 30 para os estudos do EIA do Mineroduto Morro do Pilar/MG - Linhares/ES.",-43.263889,-19.198056,NA,2996048431,"Myrtaceae","SPECIES",NA,2012,"PRESERVED_SPECIMEN","ALCB","ALCB",c(-43.263889, -19.198056)
"96","Myrciaria floribunda","BR","Minas Gerais","Chapada da Canga",-43.376389,-20.135556,NA,2996053022,"Myrtaceae","SPECIES",NA,2015,"PRESERVED_SPECIMEN","ALCB","ALCB",c(-43.376389, -20.135556)
"97","Croton urucurana","BR","Minas Gerais","Parque florestal estadual do Rio doce.",-42.616667,-19.783333,NA,2996055309,"Euphorbiaceae","SPECIES",NA,1982,"PRESERVED_SPECIMEN","ALCB","ALCB",c(-42.616667, -19.783333)
"98","Myrciaria floribunda","BR","Minas Gerais","Serra da Caraça. Estrada entre Catas Altas e Mariana.",-43.431389,-20.163056,NA,2996061122,"Myrtaceae","SPECIES",NA,2016,"PRESERVED_SPECIMEN","ALCB","ALCB",c(-43.431389, -20.163056)
"99","Myrciaria cuspidata","BR","Minas Gerais","Estrada de terra para o Morro do Pilar.",-43.296667,-19.309722,NA,2996061136,"Myrtaceae","SPECIES",NA,2016,"PRESERVED_SPECIMEN","ALCB","ALCB",c(-43.296667, -19.309722)
